Name,Rating,Price,Connectivity,Processor,RAM_Storage,Battery,Display,Camera,OS
Realme 16T 5G,4.35,"₹22,990","Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity, Octa Core Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"6.57 inches, 1080 x 2372 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 50 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
Sony Xperia 1 VIII,4.65,"₹1,49,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 30W Fast Charging,"6.5 inches, 1080 x 2340 px, 120 Hz Display",48 MP + 48 MP + 48 MP Triple Rear & 12 MP Front Camera,Memory Card (Hybrid)
Xiaomi Redmi Turbo 4 Pro,4.2,"₹23,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",7550 mAh Battery with 90W Fast Charging,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v15
Oppo Find X9 Ultra,4,"₹1,39,999","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",7050 mAh Battery with 100W Fast Charging,"6.82 inches, 1440 x 3168 px, 144 Hz Display with Punch Hole",200 MP Quad Rear & 50 MP Front Camera,Android v16
iQOO Z11,4.35,"₹25,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7s Gen4, Octa Core, 2.7 GHz Processor","8 GB RAM, 256 GB inbuilt",9020 mAh Battery with 90W Fast Charging,"6.83 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP Rear & 32 MP Front Camera,Memory Card Not Supported
Oppo K12s,4.5,"₹19,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v15
Infinix Note 60 Ultra,4.65,"₹31,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Dimensity 8400 Ultimate, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 100W Fast Charging,"6.78 inches, 1208 x 2644 px, 144 Hz Display with Punch Hole",200 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB"
Vivo Y37c,4.25,"₹7,999","Dual Sim, 5G, VoLTE, Wi-Fi","Unisoc T7225, Octa Core Processor","6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 15W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",13 MP + Ultra Wide Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
iQOO Z11 Turbo,4.05,"₹31,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen5, Octa Core, 3.8 GHz Processor","12 GB RAM, 256 GB inbuilt",7600 mAh Battery with 100W Fast Charging,"6.59 inches, 1260 x 2750 px, 144 Hz Display with Punch Hole",200 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v16
Oppo Find X9s,4.55,"₹64,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Dimensity 9500s, Octa Core, 3.73 GHz Processor","12 GB RAM, 256 GB inbuilt",7025 mAh Battery with 100W Fast Charging,"6.59 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v16
Motorola Moto G37,4.6,"₹21,990","Dual Sim, 5G, NFC, Wi-Fi","Dimensity 6400, Octa Core Processor","4 GB RAM, 64 GB inbuilt",5200 mAh Battery with 20W Fast Charging,"6.7 inches, 720 x 1604 px, 120 Hz Display",50 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
Tecno Camon 40 Pro 5G,4.35,"₹25,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",5200 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15
Motorola Moto G37 Power,4.25,"₹29,999","Dual Sim, 5G, NFC, Wi-Fi","Dimensity 6400, Octa Core Processor","4 GB RAM, 128 GB inbuilt",7000 mAh Battery with 30W Fast Charging,"6.7 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
OPPO K15 Pro,4.4,"₹42,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8500, Octa Core, 3.4 GHz Processor","12 GB RAM, 256 GB inbuilt",7500 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Memory Card Not Supported
Realme Neo 8,4.35,"₹29,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen5, Octa Core, 3.8 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 80W Fast Charging,"6.78 inches, 1272 x 2772 px, 165 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front Camera,Android v16
Honor WIN RT,4.5,"₹34,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",10000 mAh Battery with 100W Fast Charging,"6.83 inches, 1272 x 2800 px, 185 Hz Display with Punch Hole",50 MP + 12 MP Dual Rear & 50 MP Front Camera,Android v16
Red Magic 11 Pro,4.6,"₹60,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 80W Fast Charging,"6.85 inches, 1216 x 2688 px, 144 Hz Display",50 MP + 50 MP + 2 MP Triple Rear & 16 MP Front Camera,Memory Card Not Supported
RedMagic 11 Pro Plus,4.3,"₹69,990","Dual Sim, 5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",7500 mAh Battery with 120W Fast Charging,"6.85 inches, 1216 x 2688 px, 144 Hz Display",50 MP + 50 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v16
Honor 600 Lite 5G,4.05,"₹30,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Dimensity 7100, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",6520 mAh Battery with 45W Fast Charging,"6.6 inches, 1200 x 2600 px, 120 Hz Display with Small Notch",108 MP + 5 MP Dual Rear & 16 MP Front Camera,Android v16
Tecno Camon 50 Pro 5G,4.35,"₹34,990","Dual Sim, 5G, NFC, Wi-Fi, IR Blaster","Dimensity 7400, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with Fast Charging,"6.78 inches, 1208 x 2644 px, 144 Hz Display",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v16
Vivo Y600 Pro 5G,4.75,"₹27,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 7300e, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 90W Fast Charging,"6.83 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP Rear & 32 MP Front Camera,Android v16
iQOO Z10 Turbo Pro,4.5,"₹23,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 120W Fast Charging,"6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15
Vivo X200 FE,4.65,"₹54,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Memory Card Not Supported
Honor Magic 8 Pro Air,4.25,"₹49,990","Dual Sim, 5G, NFC, Wi-Fi","Dimensity 9500, Octa Core, 4.21 GHz Processor","12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 80W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",64 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v16
Xiaomi Redmi Turbo 5 Max,4.75,"₹39,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9500s, Octa Core, 3.73 GHz Processor","12 GB RAM, 256 GB inbuilt",9000 mAh Battery with 100W Fast Charging,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v16
Infinix Smart 10 HD,4.45,"₹4,999","Dual Sim, 4G, VoLTE, Wi-Fi, IR Blaster","Octa Core, 1.6 GHz Processor","2 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.6 inches, 720 x 1612 px, 90 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,Memory Card Supported
OPPO K15 Pro Plus,4.4,"₹49,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9500s, Octa Core, 3.73 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 100W Fast Charging,"6.78 inches, 1272 x 2772 px, 165 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Memory Card Not Supported
Vivo Y500 5G,4.1,"₹17,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",8200 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
Honor 600,4.1,"₹59,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","8 GB RAM, 128 GB inbuilt",8600 mAh Battery with 80W Fast Charging,"6.57 inches, 1264 x 2728 px, 120 Hz Display with Punch Hole",200 MP + 12 MP Dual Rear & 50 MP Front Camera,Android v16
Honor X9d,4.4,"₹31,990","Dual Sim, 5G, NFC, Wi-Fi, IR Blaster","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor","12 GB RAM, 256 GB inbuilt",8300 mAh Battery with 66W Fast Charging,"6.79 inches, 1200 x 2640 px, 120 Hz Display with Punch Hole",108 MP + 5 MP Dual Rear & 16 MP Front Camera,Android v15
Vivo V60 Lite 5G,4.65,"₹24,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Dimensity 7360 Turbo, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15
Infinix Note 50 Pro Plus 5G,4.6,"₹31,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",5200 mAh Battery with 100W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v15
Vivo Y03,4,"₹6,990","Dual Sim, 4G, VoLTE, Wi-Fi","Helio G85, Octa Core, 2 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
Infinix GT 50 Pro,4.7,"₹37,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8400 Ultimate, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",6150 mAh Battery with 45W Fast Charging,"6.78 inches, 1208 x 2644 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 13 MP Front Camera,Android v16
Oppo Find N6,4.05,"₹1,29,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"8.12 inches, 2248 x 2480 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",200 MP + 50 MP + 50 MP Triple Rear & 20 MP + 20 MP Dual Front Camera
iQOO Z10 Turbo,4.45,"₹21,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8400, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",7620 mAh Battery with 90W Fast Charging,"6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v15
Xiaomi Redmi Turbo 5,4.45,"₹39,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8500 Ultra, Octa Core, 3.4 GHz Processor","12 GB RAM, 256 GB inbuilt",9000 mAh Battery with 100W Fast Charging,"6.59 inches, 1268 x 2756 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v16
OPPO Find X9s Pro,4.35,"₹79,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9500, Octa Core, 4.21 GHz Processor","12 GB RAM, 256 GB inbuilt",7025 mAh Battery with 80W Fast Charging,"6.32 inches, 1216 x 2640 px, 144 Hz Display with Punch Hole",200 MP + 200 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported
Tecno Camon 50 Ultra,4.25,"₹34,990","Dual Sim, 5G, NFC, Wi-Fi, IR Blaster","Dimensity 7400 Ultimate, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery,"6.78 inches, 1208 x 2644 px, 144 Hz Display",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v16
OnePlus Turbo 6V,4.2,"₹24,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7s Gen 4, Octa Core, 2.7 GHz Processor","8 GB RAM, 256 GB inbuilt",9000 mAh Battery with 80W Fast Charging,"6.78 inches, 1272 x 2772 px, 144 Hz Display with Punch Hole",50 MP Dual Rear & 16 MP Front Camera,Memory Card Not Supported
Huawei Pura X Max,4.2,"₹1,49,990","Dual Sim, 5G, NFC, eSIM, Wi-Fi, IR Blaster","Kirin 9030, 2.75 GHz Processor","12 GB RAM, 256 GB inbuilt",5300 mAh Battery with 66W Fast Charging,"7.7 inches, 1828 x 2584 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 50 MP + 12.5 MP Triple Rear & 8 MP + 8 MP Dual Front Camera
Vivo Y04,4.45,"₹8,990","Dual Sim, 4G, VoLTE, Wi-Fi","Unisoc T7225, Octa Core, 2 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
Nubia Z70 Ultra,4.4,"₹53,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",6150 mAh Battery with 80W Fast Charging,"6.85 inches, 1216 x 2688 px, 144 Hz Display",64 MP + 50 MP + 50 MP Triple Rear & 16 MP Front Camera,Android v15
OnePlus Nord CE 4 Lite 5G,4.7,"₹19,999","Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 80W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
Sony Xperia 1 VII,4.7,"₹1,40,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 30W Fast Charging,"6.5 inches, 1080 x 2340 px, 120 Hz Display",48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front Camera,Memory Card (Hybrid)
Huawei Nova 15 Max,4.1,"₹59,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",Octa Core Processor,"8 GB RAM, 256 GB inbuilt",8500 mAh Battery with 40W Fast Charging,"6.84 inches, 1272 x 2756 px, 120 Hz Display with Punch Hole",50 MP Rear & 8 MP Front Camera,Memory Card Supported
Xiaomi 17 Pro Max,4.45,"₹1,05,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 512 GB inbuilt",7500 mAh Battery with 100W Fast Charging,"6.9 inches, 1200 x 2608 px, 120 Hz Display with Punch Hole",Dual Display,50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera
Samsung Galaxy Z Fold 8,4.6,"₹1,99,999","Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",4800 mAh Battery with 25W Fast Charging,"8 inches, 1968 x 2184 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",200 MP + 50 MP + 12 MP Triple Rear & 12 MP + 12 MP Dual Front Camera
OnePlus Ace 6,4.5,"₹31,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",7800 mAh Battery with 120W Fast Charging,"6.83 inches, 1272 x 2800 px, 165 Hz Display with Punch Hole",50 MP + 16 MP Dual Rear & 16 MP Front Camera,Memory Card Not Supported
Red Magic 11 Air,4.35,"₹46,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 120W Fast Charging,"6.85 inches, 1216 x 2688 px, 144 Hz Display",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v16
Honor Power 2,4.15,"₹34,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8500, Octa Core, 3.4 GHz Processor","12 GB RAM, 256 GB inbuilt",10080 mAh Battery with 80W Fast Charging,"6.79 inches, 1200 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 5 MP Dual Rear & 16 MP Front Camera,Android v16
Realme Note 60x,4.25,"₹6,299","Dual Sim, 4G, VoLTE, Wi-Fi","Unisoc T612, Octa Core, 1.8 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
Realme C2s,3.45,"₹3,499","Dual Sim, 4G, VoLTE, Wi-Fi","Helio  P22 , Octa Core, 2 GHz Processor","3 GB RAM, 32 GB inbuilt",4000 mAh Battery,"6.1 inches, 720 x 1560 px Display with Water Drop Notch",13 MP + 2 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 128 GB"
Huawei Pura 90 Pro,4.4,"₹89,990","Dual Sim, 5G, NFC, Wi-Fi, IR Blaster","Kirin 9030S, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 66W Fast Charging,"6.6 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12.5 MP Triple Rear & 13 MP Front Camera,HarmonyOS v6.1
Tecno Pova 7 Ultra,4.35,"₹22,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 70W Fast Charging,"6.67 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",108 MP + 8 MP Dual Rear & 13 MP Front Camera,Android v15
iQOO 15 Ultra,4.75,"₹99,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","16 GB RAM, 256 GB inbuilt",7400 mAh Battery with 100W Fast Charging,"6.85 inches, 1440 x 3168 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v16
Xiaomi Redmi Turbo 4,4.75,"₹23,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8400 Ultra, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",6550 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v15
Infinix Note 60,4.4,"₹19,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 7400, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt",6500 mAh Battery with 45W Fast Charging,"6.78 inches, 1208 x 2644 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 13 MP Front Camera,"Memory Card Supported, upto 2 TB"
Acer Super ZX,4.3,"₹9,990","Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.8 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15
Vivo Y31d,4.1,"₹11,990","Dual Sim, 4G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 6s Gen 2 4G, Octa Core, 2.9 GHz Processor","6 GB RAM, 128 GB inbuilt",7200 mAh Battery with 444W Fast Charging,"6.75 inches, 720 x 1570 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,Android v16
Motorola Moto G56 5G,4.55,"₹15,990","Dual Sim, 5G, VoLTE, eSIM, Wi-Fi","Dimensity 7060, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",5200 mAh Battery with 30W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
Vivo V70 5G (12GB RAM + 512GB),4.1,"₹54,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","12 GB RAM, 512 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.59 inches, 1260 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Memory Card Not Supported
Poco F8 Ultra,4.3,"₹64,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 100W Fast Charging,"6.9 inches, 1200 x 2608 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported
iQOO Z10 Turbo Plus,4.25,"₹25,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",8000 mAh Battery with 80W Fast Charging,"6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15
Realme Narzo 80x 5G,4.35,"₹13,999","Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core, 2.5 GHz Processor","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card (Hybrid)
OnePlus 13T,4.35,"₹39,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",6260 mAh Battery with 80W Fast Charging,"6.32 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 16 MP Front Camera,Memory Card Not Supported
Oppo A6c,4.25,"₹11,990","Dual Sim, 4G, Wi-Fi","Snapdragon 685, Octa Core, 2.8 GHz Processor","6 GB RAM, 128 GB inbuilt",6500 mAh Battery with Fast Charging,"6.75 inches, 720 x 1570 px, 120 Hz Display with Punch Hole",13 MP Rear & 5 MP Front Camera,Memory Card Supported
Honor Win,4.55,"₹49,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",10000 mAh Battery with 100W Fast Charging,"6.83 inches, 1272 x 2800 px, 185 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 50 MP Front Camera,Android v16
HMD Fuse,4.35,"₹8,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 50 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
Realme C75,4.05,"₹9,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Helio G92 Max, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.72 inches, 1080 x 2400 px Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
Light Phone 2,4.05,"₹24,990","Single Sim, 4G, VoLTE","Snapdragon 210, Quad Core, 1.1 GHz Processor","1 GB RAM, 8 GB inbuilt",950 mAh Battery,2.8 inches Display,No Rear Camera,Light OS
