Name,Rating,Price,Connectivity,Processor,RAM_Storage,Battery,Display,Camera,OS
Tecno Camon 30S,4.1,"₹17,990","Dual Sim, 4G, NFC, Wi-Fi, IR Blaster","Helio G100, Octa Core, 2.2 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2436 px, 120 Hz Display",50 MP + 2 MP Triple Rear & 13 MP Front Camera,Memory Card Supported
Honor X60 Pro,4,"₹17,990","Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",6600 mAh Battery with 66W Fast Charging,"6.78 inches, 1224 x 2700 px, 120 Hz Display with Punch Hole",108 MP Rear & 8 MP Front Camera,Android v14
Huawei Nova 13,4.35,"₹30,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",Octa Core Processor,256 GB inbuilt,5000 mAh Battery with 100W Fast Charging,"6.7 inches, 1084 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 60 MP Front Camera,HarmonyOS v4.2
Oppo K12 Plus,4.5,"₹22,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","8 GB RAM, 256 GB inbuilt",6400 mAh Battery with 80W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Memory Card (Hybrid)
Motorola Moto G Stylus 5G 2025,4.2,"₹34,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 6 Gen3, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 68W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,Memory Card Supported
Vivo V40 Lite 4G,4.1,"₹18,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Snapdragon 685, Octa Core, 2.8 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.67 inches, 1080 x 2400 px Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Memory Card (Hybrid)
HMD Aura 2,4,"₹8,990","Dual Sim, 4G, VoLTE, Wi-Fi","Unisoc SC9863A, Octa Core, 1.6 GHz Processor","4 GB RAM, 256 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.52 inches, 576 x 1280 px Display with Water Drop Notch",13 MP Rear & 5 MP Front Camera,Memory Card (Hybrid)
OnePlus Ace 2 Pro (24GB RAM + 1TB),4,"₹49,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","24 GB RAM, 1 TB inbuilt",5000 mAh Battery with 150W Fast Charging,"6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13
Xiaomi Redmi K70 Extreme Edition (24GB RAM +1TB),4.35,"₹47,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","24 GB RAM, 1 TB inbuilt",5500 mAh Battery with 120W Fast Charging,"6.67 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,Android v14
Asus ROG Phone 9,4.15,"₹83,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",5800 mAh Battery with 65W Fast Charging,"6.78 inches, 1080 x 2400 px, 185 Hz Display with Punch Hole",50 MP + 13 MP + 5 MP Triple Rear & 32 MP Front Camera,Android v15
